iso3,country,rank_raw,rank_cr,delta_rank,c_j_raw,c_j_cr,p_E,p_E_cr,pue_calc,theta,c_elec,c_elec_cr,c_hardware,c_network,c_construct,dc_cap_mw,omega,k_bar,bloc,sanctioned,is_exporter_0,export_pct_0,is_exporter_b,export_pct_b,inf_source,P_I_best,P_I_domestic,imports_inf,lambda_min_k,lambda_star_k,lambda_usa,p_bilat_usa,regime,is_dom_train,is_dom_inf,welfare_train_k,welfare_inf_k,rank_orig,c_j_total_csv,c_j_elec_csv,c_j_hw_csv,c_j_constr_csv,pue,p_L,cost_source,n_datacenters,source_tier,cr_adjusted,subsidy_gap,total_dc,eu,apec_cbpr,depa,export_share_0,hhi_T_0,export_share_b,hhi_T_b,inf_rev_share,hhi_I,welfare_train,welfare_inf,weighted_avg_cost,is_inf_exporter,developing,c_j_baseline,rank_baseline,c_j_low_hw,rank_low_hw,c_j_high_hw,rank_high_hw
IND,India,29,21,8,1.625813602033832,1.625813602033832,.09,.09,1.308,30.2,.082404,.082404,1.358060906315526,.15,.0353486957183056,3600,.0290913792546142,31557600000,N,0,0,,0,,IND,1.655936676452315,1.655936676452315,0,.035,.0211951195971714,.045,1.698975214125354,DD,1,1,.0013772125847948,0,29,1.47581,.0824,1.35806,.03535,1.308,6.64,DCCI,153,1,0,,123748,0,0,0,0,.9958317567941819,0,.9954332500476588,,,.0536757609503397,.0436109611068962,1.632148445499952,0,1,1.625813602033831,21,1.567752695718305,21,1.687752695718305,21
IDN,Indonesia,30,22,8,1.626363448333931,1.626363448333931,.067,.067,1.251,26.4,.058625,.058625,1.358060906315526,.15,.0596775420184044,500,.0040404693409186,4383000000,N,0,0,,0,,IDN,1.626428502871864,1.626428502871864,0,.035,.0215404853620333,.045,1.699549803508957,DD,1,1,.0001935011627837,0,30,1.47638,.05864,1.35806,.05968,1.25,11.21,DCCI,88,2,0,,123748,0,0,0,0,.9958317567941819,0,.9954332500476588,.0091314607104761,.259057001183021,.0536757609503397,.0436109611068962,1.632148445499952,1,1,1.62636344833393,22,1.568302542018404,22,1.688302542018404,22
KAZ,Kazakhstan,21,23,-2,1.615574602429299,1.631920302429299,.066,.085,1.2285,24.9,.0567798,.0731255,1.358060906315526,.15,.0507338961137729,100,.0008080938681837,876600000,N,0,0,,0,,KGZ,1.610042138240605,1.631959468516557,1,.035,.0250308192326598,.045,1.705356716038618,II,1,0,.0000431906922776,.000017711260203,21,1.46557,.05678,1.35806,.05073,1.229,9.529999999999999,predicted,25,3,1,19,123748,0,0,0,0,.9958317567941819,0,.9954332500476588,,,.0536757609503397,.0436109611068962,1.632148445499952,0,0,1.631920302429299,23,1.573859396113773,23,1.693859396113773,23
IRN,Iran,1,24,-23,1.55794549571396,1.63208949571396,.005,.085,1.323,31.2,.004634,.078778,1.358060906315526,.15,.0452505893984333,10,.0000808093868184,87660000,C,1,0,,0,,IRN,1.638617853696816,1.638617853696816,0,.025,.0251370917821994,,,DD,0,1,4.33274163335e-06,0,1,1.40794,.00463,1.35806,.04525,1.324,8.5,predicted,2,3,1,80,123748,0,0,0,0,.9958317567941819,0,.9954332500476588,,,.0536757609503397,.0436109611068962,1.632148445499952,0,0,1.632089495713959,24,1.574028589398433,24,1.694028589398433,24
GEO,Georgia,31,25,6,1.632141402366937,1.632141402366937,.0911,.0911,1.146,19.4,.07308042,.07308042,1.358060906315526,.15,.0510000760514107,15,.0001212140802276,131490000,N,0,0,,0,,AZE,1.628549279244809,1.632180573760594,1,.035,.0251696950404257,.045,1.705587765473449,II,1,0,6.50540426722e-06,4.40164024766e-07,31,1.48215,.07309,1.35806,.051,1.146,9.58,predicted,4,3,0,,123748,0,0,0,0,.9958317567941819,0,.9954332500476588,,,.0536757609503397,.0436109611068962,1.632148445499952,0,1,1.632141402366937,25,1.574080496051411,25,1.69408049605141,25
USA,United States of America,32,26,6,1.633684390870245,1.633684390870245,.0813,.0813,1.1985,22.9,.06823509,.06823509,1.358060906315526,.15,.057388394554719,53700,.433946407214662,470734200000,W,0,0,,0,,CAN,1.660846900943602,1.691712860433956,1,0,.0261388666153231,,1.633684390870245,II,0,0,.0239589215940295,.0133941722260724,32,1.48369,.06824,1.35806,.05739,1.199,10.78,DCCI,5427,1,0,,123748,0,1,0,0,.9958317567941819,0,.9954332500476588,,,.0536757609503397,.0436109611068962,1.632148445499952,0,0,1.633684390870245,26,1.575623484554719,26,1.695623484554719,26
UZB,Uzbekistan,22,27,-5,1.617378527876101,1.634708427876101,.071,.09,1.3035,29.9,.0647591,.082089,1.358060906315526,.15,.0445585215605749,25,.0002020234670459,219150000,N,0,0,,0,,KGZ,1.603728247502406,1.641247261587606,1,.035,.0267820778612857,.045,1.708270307130526,II,1,0,.0000113609398387,7.57972130564e-06,22,1.46737,.06475,1.35806,.04456,1.303,8.369999999999999,predicted,5,3,1,19,123748,0,0,0,0,.9958317567941819,0,.9954332500476588,,,.0536757609503397,.0436109611068962,1.632148445499952,0,1,1.634708427876101,27,1.576647521560575,27,1.696647521560575,27
KEN,Kenya,33,28,5,1.637836758167378,1.637836758167378,.088,.088,1.266,27.4,.077924,.077924,1.358060906315526,.15,.0518518518518519,60,.0004848563209102,525960000,N,0,0,,0,,KEN,1.63791537433177,1.63791537433177,0,.035,.0287470236717671,.045,1.71153941228491,DD,1,1,.0000287830463286,0,33,1.48785,.07794,1.35806,.05185,1.265,9.74,DCCI,20,3,0,,123748,0,0,0,0,.9958317567941819,0,.9954332500476588,,,.0536757609503397,.0436109611068962,1.632148445499952,0,1,1.637836758167378,28,1.579775851851852,28,1.699775851851852,28
TUR,Turkey,34,29,5,1.637895745132166,1.637895745132166,.086,.086,1.221,24.4,.0735644,.0735644,1.358060906315526,.15,.05627043881664,350,.002828328538643,3068100000,N,0,0,,0,,TUR,1.650632022446314,1.650632022446314,0,.035,.0287840741678915,.045,1.711601053663114,DD,1,1,.0001680679380992,0,34,1.48787,.07354,1.35806,.05627,1.222,10.57,predicted,35,2,0,,123748,0,0,0,0,.9958317567941819,0,.9954332500476588,,,.0536757609503397,.0436109611068962,1.632148445499952,0,0,1.637895745132166,29,1.57983483881664,29,1.69983483881664,29
BIH,Bosnia and Herz.,35,30,5,1.638170356878307,1.638170356878307,.0985,.0985,1.179,21.6,.08129205,.08129205,1.358060906315526,.15,.0488174005627804,10,.0000808093868184,87660000,N,0,0,,0,,BIH,1.64472303830582,1.64472303830582,0,.035,.0289565614533911,.045,1.711888022937831,DD,1,1,4.82413229537e-06,0,35,1.48814,.08126,1.35806,.04882,1.179,9.17,predicted,2,3,0,,123748,0,0,0,0,.9958317567941819,0,.9954332500476588,,,.0536757609503397,.0436109611068962,1.632148445499952,0,1,1.638170356878306,30,1.58010945056278,30,1.70010945056278,30
