iso,country,G,R,cr_pe,theta,pue,constr_per_w,mw,omega_share,xi_old,xi_new,c_cr,c_adj_old,c_adj_new,rank_old,rank_new,rank_cr
ZAF,South Africa,0.542452812194824,0.65,0.095,23.5,1.208,10.2,250.0,0.0020202346704593205,0.7156575762380032,0.5937965374828618,1.5883929063155264,1.6799075654549238,1.7459580823017502,46,53,33
SRB,Serbia,0.514150924682617,0.8,0.1201,23.2,1.203,10.15,40.0,0.00032323754727349126,0.7489400432970819,0.6413429189958314,1.6091971163155263,1.6933830889757233,1.7496395806278753,55,54,57
HUN,Hungary,0.6320754623413091,0.92,0.1759,23.6,1.209,10.73,50.0,0.0004040469340918641,0.833797357078004,0.7625676529685772,1.6569250763155263,1.716498322149216,1.7499791431258085,65,55,80
EGY,Egypt,0.443396224975586,0.7,0.08,31.7,1.331,7.63,150.0,0.0012121408022755923,0.6899806471693513,0.5571152102419303,1.5825969063155263,1.6834845264143796,1.7610942392279305,49,56,29
MAR,Morocco,0.48584907531738303,0.75,0.108,28.5,1.283,7.82,50.0,0.0004040469340918641,0.7225512219591114,0.6036446027987306,1.6050557063155264,1.699897986502455,1.7672334539616683,58,57,47
GRC,Greece,0.570754699707031,0.9,0.1652,26.1,1.246,7.84,50.0,0.0004040469340918641,0.8016999327992786,0.7167141897132552,1.6521483463155264,1.7248907237674764,1.7683882644464701,68,58,79
KAZ,Kazakhstan,0.367924537658691,0.8,0.085,24.9,1.229,9.53,100.0,0.0008080938681837282,0.6797715349551712,0.5425307642216732,1.5811864063155263,1.686296921691949,1.769328828274018,50,59,25
COL,Colombia,0.358490562438965,0.75,0.075,25.5,1.237,7.49,150.0,0.0012121408022755923,0.6629673286899519,0.5185247552713599,1.5730034063155263,1.6822737154515877,1.772587884661071,47,60,18
BGR,Bulgaria,0.537735862731934,0.85,0.1546,23.9,1.214,10.31,75.0,0.0006060704011377962,0.7732515048342166,0.6760735783345951,1.6394399863155265,1.7219516692055734,1.7742568486168582,67,61,75
BIH,Bosnia and Herz.,0.396226425170898,0.75,0.0985,21.6,1.179,9.17,10.0,8.080938681837282e-05,0.6815929916158118,0.5451328451654455,1.5893529563155264,1.6974013233167191,1.7823465681523285,56,62,35
TUR,Turkey,0.325471687316895,0.85,0.086,24.4,1.222,10.57,350.0,0.0028283285386430487,0.6681833208708492,0.5259761726726419,1.5816253063155263,1.6926463307296324,1.7831075369718212,54,63,26
MKD,North Macedonia,0.452830200195312,0.8,0.1352,24.0,1.214,9.79,18.0,0.00014545689627307108,0.7213186899207797,0.6018838427439712,1.6229538663155263,1.7252952005344828,1.7981673540851832,69,64,64
HRV,Croatia,0.594339637756348,0.9,0.2057,23.7,1.211,9.77,30.0,0.00024242816045511847,0.8119607213942779,0.7313724591346827,1.6824327963155263,1.7575530017496466,1.8015721240933709,78,65,84
MDA,Moldova,0.471698112487793,0.75,0.1348,24.2,1.218,9.21,20.0,0.00016161877363674563,0.7163520821843742,0.5947886888348203,1.6229913863155263,1.727893683505406,1.8034804056657807,71,66,65
AZE,Azerbaijan,0.292452831268311,0.7,0.062,24.4,1.221,9.77,10.0,8.080938681837282e-05,0.6167196254181775,0.45245660774025365,1.5610523063155264,1.6872078827269843,1.8067037076966774,51,67,12
ALB,Albania,0.457547187805176,0.8,0.1474,23.7,1.211,9.55,5.0,4.040469340918641e-05,0.7235073761100612,0.6050105373000876,1.6330118863155263,1.7380860298716598,1.8125174207871464,72,68,71
KEN,Kenya,0.410377349853516,0.6,0.088,27.4,1.265,9.74,60.0,0.00048485632091023695,0.6473484430034684,0.49621206143352625,1.5859849063155265,1.710149495487863,1.8173887173758654,62,69,30
GHA,Ghana,0.495283012390137,0.6,0.12,30.7,1.315,10.8,15.0,0.00012121408022755924,0.6815929842681863,0.5451328346688377,1.6185209063155264,1.7401951213260447,1.8358527094055506,74,70,63
PHL,Philippines,0.372641525268555,0.7,0.115,27.8,1.272,8.8,200.0,0.0016161877363674564,0.6575136964748545,0.510733852106935,1.6104569063155263,1.7419251533314855,1.8522439313074832,75,71,59
DZA,Algeria,0.26415094375610404,0.7,0.065,35.8,1.391,8.48,25.0,0.00020202346704593205,0.6010046074536795,0.43000658207668496,1.5713514063155263,1.7129508644868348,1.8540777323136988,63,72,16
ETH,Ethiopia,0.268867931365967,0.55,0.05,26.5,1.252,8.08,10.0,8.080938681837282e-05,0.5691837801635309,0.3845482573764727,1.5518809063155263,1.698583610501359,1.8620808733342566,57,73,6
UKR,Ukraine,0.198113212585449,0.75,0.0568,22.5,1.192,9.86,175.0,0.0014141642693215244,0.5698269920248018,0.3854671314640027,1.5554548263155263,1.7044711725238502,1.870151053276432,61,74,8
MEX,Mexico,0.24056604385376001,0.75,0.095,26.6,1.255,10.4,900.0,0.007272844813653554,0.5973348636071067,0.4247640908672954,1.5915184063155263,1.7488927733695063,1.907677752512011,76,75,38
UZB,Uzbekistan,0.231132068634033,0.7,0.09,29.9,1.303,8.37,25.0,0.00020202346704593205,0.5815640238764059,0.4022343198234371,1.5901499063155264,1.7571382055834803,1.935060402782851,77,76,36
SEN,Senegal,0.42924530029296903,0.65,0.18,32.4,1.342,10.5,10.0,8.080938681837282e-05,0.6697494126341659,0.528213446620237,1.6771529063155264,1.834495814626967,1.9621576063175874,84,77,82
RUS,Russia,0.122641506195068,0.85,0.065,16.9,1.109,10.36,2000.0,0.016161877363674564,0.5260092638151052,0.3228703768787217,1.5585204063155265,1.7391559055672174,1.9789277134159426,73,78,10
KGZ,Kyrgyzstan,0.127358493804932,0.65,0.038,13.3,1.08,7.83,5.0,4.040469340918641e-05,0.5014042707513195,0.2877203867875994,1.5367889063155264,1.7145157879865351,1.979247336639424,64,79,1
IRN,Iran,0.160377349853516,0.75,0.085,31.2,1.324,8.5,10.0,8.080938681837282e-05,0.542772889901585,0.3468184141451215,1.5868389063155264,1.7795594819748262,2.0177086950983645,79,80,31
NGA,Nigeria,0.202830181121826,0.5,0.08,31.4,1.326,10.5,100.0,0.0008080938681837282,0.5229201524646153,0.31845736066373626,1.5823169063155265,1.7869141431683073,2.0622556516735875,80,81,27
BLR,Belarus,0.113207550048828,0.8,0.099,19.8,1.152,10.91,35.0,0.0002828328538643049,0.5106593449603899,0.3009419213719856,1.5878945063155263,1.8081331555912687,2.121775044087343,82,82,32
PAK,Pakistan,0.212264156341553,0.55,0.134,29.9,1.304,6.57,50.0,0.0004040469340918641,0.5391760651362266,0.34168009305175234,1.6303761063155264,1.8631189339399494,2.155049684818212,85,83,69
TJK,Tajikistan,0.09905660629272459,0.65,0.074,16.8,1.108,7.32,5.0,4.040469340918641e-05,0.4776218711314369,0.253745530187767,1.5654553063155263,1.7922839026550867,2.175393136154341,81,84,14
TKM,Turkmenistan,0.0660377359390259,0.75,0.07,32.2,1.339,9.24,5.0,4.040469340918641e-05,0.45578468460536165,0.22254954943623095,1.5736719063155264,1.831115414908077,2.326883357523323,83,85,20
