iso,country,cj_cr,rank_cr,G_RoL,G_RegQ,R_grid,BIT_G7,BIT_score,ICSID,FDI_raw,FDI_score,xi_raw_v26,xi_eff_v26,rank_v26,xi_eff_A,adj_cost_A,rank_A,delta_A,xi_eff_B,adj_cost_B,rank_B,delta_B,xi_eff_C,adj_cost_C,rank_C,delta_C,shift_A,shift_B,shift_C
MEX,Mexico,1.497526522154259,36,0.24056604385376001,0.462264137268066,0.75,7,1.0,1,1.72496522551661,0.44725592212429754,0.6641031537447502,0.8320515768723751,58,0.7485340319873791,2.000612474730486,64,-28,0.9235789494537916,1.6214385603308763,30,6,0.7416583904994631,2.019159415355314,50,-14,-6,28,8
BLR,Belarus,1.4977812441026963,37,0.113207550048828,0.07547169685363771,0.8,3,0.42857142857142855,1,2.74854001098901,0.6157888532116839,0.39620626246461693,0.6981031312323085,84,0.5537712335597943,2.7046931175434037,83,-46,0.7605589339325489,1.969316481969731,80,-43,0.8202215476040033,1.8260691254429389,32,5,1,4,52
FRA,France,1.4981627763865202,38,0.849056625366211,0.853773574829102,0.98,7,1.0,1,0.590645170561014,0.27504226639487966,0.9544407555362122,0.9772203777681061,10,0.9358080200518477,1.6009296183457753,16,22,0.9829544681217597,1.5241425976212573,4,34,0.6663962130062102,2.2481561976891946,66,-28,-6,6,-56
ARM,Armenia,1.4987121318660244,39,0.490566024780273,0.5283018875122071,0.8,4,0.5714285714285714,1,2.39959276465582,0.5593951870101642,0.5817974107523521,0.790898705376176,68,0.7811145602608529,1.9186841573731899,57,-18,0.843065695181077,1.7776931743665896,66,-27,0.7951171301656702,1.8848947846888338,36,3,11,2,32
CHL,Chile,1.4987358196293523,40,0.7122641754150391,0.768867950439453,0.9,6,0.8571428571428571,1,5.47730938390937,0.9083626566071273,0.8829714223847634,0.9414857111923818,25,0.8936229167500025,1.6771456858784146,31,9,0.9375544725326466,1.5985586582300313,21,19,0.953551661006306,1.5717405578715058,8,32,-6,4,17
ARE,United Arab Emirates,1.4991450585068335,41,0.7877358245849609,0.820754699707031,0.95,5,0.7142857142857143,1,5.87184069440898,0.9280588637639157,0.8643002281685779,0.9321501140842889,30,0.9194787030828437,1.63042934380152,26,15,0.9158166352979089,1.6369489270296689,37,4,0.9656587196028055,1.55245847013473,7,34,4,-7,23
GBR,United Kingdom,1.4996158409458022,42,0.8915093994140619,0.929245300292969,0.98,7,1.0,1,0.403116734836793,0.2507891802441832,0.9544407555362122,0.9772203777681061,12,0.9683437543257885,1.5486399682413536,10,32,0.9909821395544745,1.5132622285402633,3,39,0.6538389801575346,2.293555273478017,68,-26,2,9,-56
POL,Poland,1.500355807220804,43,0.650943374633789,0.764150924682617,0.92,7,1.0,1,4.38918673390545,0.8273880779111543,0.8773230480909562,0.9386615240454781,27,0.8928623860171228,1.6803886362752785,32,11,0.9689258343675967,1.5484733237607022,10,33,0.9203306393206296,1.630235638279236,16,27,-5,17,11
NZL,New Zealand,1.5012697901974563,44,0.957547149658203,0.985849075317383,0.98,4,0.5714285714285714,1,1.72217162155154,0.4467948107004708,0.9884935202044184,0.9942467601022091,6,0.9924847467952072,1.5126376451075412,5,39,0.904541416289125,1.6597026550275669,45,-1,0.7513308604003612,1.9981473799671634,48,-4,1,-39,-42
MLT,Malta,1.5039248810788923,45,0.754716949462891,0.740566024780273,0.95,6,0.8571428571428571,1,111.222080423027,1.0,0.8643002281685779,0.9321501140842889,31,0.8843773262092139,1.7005466292598215,34,11,0.9380690340628427,1.6032134378909069,24,21,0.9961677644248906,1.5097104471626233,2,43,-3,7,29
PHL,Philippines,1.504296796433672,46,0.372641525268555,0.575471687316895,0.7,5,0.7142857142857143,1,2.0421035482067,0.5,0.6140352010414702,0.8070176005207351,65,0.7963159831070661,1.889070203720144,53,-7,0.8715642785347014,1.7259734404933833,60,-14,0.7629415471663797,1.9717064852749722,46,0,12,5,19
PRT,Portugal,1.5043280209929542,47,0.834905624389648,0.754716949462891,0.95,6,0.8571428571428571,1,3.96325428743124,0.7829291285666208,0.9244388615072116,0.9622194307536058,15,0.8906115071016009,1.6890956483244053,33,14,0.939593731464424,1.601040929305,23,24,0.9029884773909941,1.665943761917551,20,27,-18,-8,-5
LVA,Latvia,1.50495459551345,48,0.830188674926758,0.863207550048828,0.9,7,1.0,1,3.94830779361871,0.7812281788741604,0.8744354205083176,0.9372177102541588,28,0.9343144975284917,1.6107580472040752,19,29,0.9778165883893674,1.5390970181763535,7,41,0.8989951307236372,1.674040875284888,21,27,9,21,7
